timestamp,dxy_value,date,datetime,description,dxy_ma_20,dxy_ma_50,dxy_ma_200
1739163600,108.31999969482422,2025-02-09,2025-02-09 23:00:00,U.S. Dollar Index (DXY),108.31549987792968,107.84359985351563,104.87310009002685
1739250000,107.95999908447266,2025-02-10,2025-02-10 23:00:00,U.S. Dollar Index (DXY),108.21549987792969,107.88119979858398,104.88490009307861
1739336400,107.94000244140625,2025-02-11,2025-02-11 23:00:00,U.S. Dollar Index (DXY),108.14900016784668,107.92519989013672,104.89490009307862
1739422800,107.30999755859375,2025-02-12,2025-02-12 23:00:00,U.S. Dollar Index (DXY),108.06000022888183,107.94239990234375,104.90355007171631
1739509200,106.56999969482422,2025-02-13,2025-02-13 23:00:00,U.S. Dollar Index (DXY),107.94050025939941,107.94639984130859,104.90530006408692
1739854800,107.05000305175781,2025-02-17,2025-02-17 23:00:00,U.S. Dollar Index (DXY),107.82550048828125,107.96059997558594,104.91175006866455
1739941200,107.16999816894531,2025-02-18,2025-02-18 23:00:00,U.S. Dollar Index (DXY),107.78100051879883,107.9897999572754,104.9211000442505
1740027600,106.33999633789062,2025-02-19,2025-02-19 23:00:00,U.S. Dollar Index (DXY),107.68950042724609,107.99719985961914,104.92765003204346
1740114000,106.61000061035156,2025-02-20,2025-02-20 23:00:00,U.S. Dollar Index (DXY),107.61750030517578,108.00639984130859,104.93545001983642
1740373200,106.5999984741211,2025-02-23,2025-02-23 23:00:00,U.S. Dollar Index (DXY),107.57550010681152,108.01039978027343,104.94139999389648
1740459600,106.30999755859375,2025-02-24,2025-02-24 23:00:00,U.S. Dollar Index (DXY),107.52400016784668,108.00239974975585,104.94519996643066
1740546000,106.41999816894531,2025-02-25,2025-02-25 23:00:00,U.S. Dollar Index (DXY),107.45149993896484,107.99159973144532,104.95114994049072
1740632400,107.23999786376953,2025-02-26,2025-02-26 23:00:00,U.S. Dollar Index (DXY),107.41349983215332,107.9963996887207,104.9607999420166
1740718800,107.61000061035156,2025-02-27,2025-02-27 23:00:00,U.S. Dollar Index (DXY),107.40399971008301,108.0113996887207,104.97274993896484
1740978000,106.75,2025-03-02,2025-03-02 23:00:00,U.S. Dollar Index (DXY),107.3229995727539,108.00719970703125,104.9814499282837
